timestamp,latitude,longitude,speed,accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ
1493479000.0,40.47865049671415,-79.92270082899502,30.0,0.037849,-0.881566,0.406261,0.035567,0.048024,0.008764
1493479000.2,40.4786515339765,-79.92269855349208,30.0,-0.046108,-0.919667,0.37853,0.008976,0.008787,-0.004021
1493479000.4,40.478653992170145,-79.92269523932846,30.0,0.04348,-0.898563,0.406115,0.003636,-0.004168,-0.003697
1493479000.6,40.478656539752265,-79.92269336956285,30.0,0.067782,-0.836077,0.427165,0.019933,-0.020274,0.016254
1493479000.8,40.47865645480984,-79.92269199414575,30.0,0.020672,-0.890445,0.402443,0.016596,-0.026063,-0.006894
1493479001.0,40.47865812706706,-79.92268984922781,30.0,0.09384,-0.897678,0.40203,0.010935,-0.021683,0.021427
1493479001.2,40.47866161265763,-79.92268668220133,30.0,-0.038689,-0.967993,0.3649,0.033928,0.015343,-0.004006
1493479001.4,40.478662473120345,-79.92268654474866,30.0,-0.062233,-0.862687,0.366855,0.039106,0.020175,0.011384
1493479001.6,40.47866290845204,-79.92268339939092,30.0,-0.088936,-0.867726,0.32987,0.021768,-0.021624,0.001714
1493479001.8,40.47866559272727,-79.92268214199198,30.0,0.074802,-0.791837,0.487479,0.049551,0.027901,0.011032
1493479002.0,40.47866625899034,-79.92268015079158,30.0,0.032718,-0.915389,0.337807,-0.002834,0.000339,-0.000441
1493479002.2,40.47866792891907,-79.92267682764457,30.0,-0.002779,-0.889042,0.365355,0.016127,0.012936,0.003372
1493479002.4,40.4786703088519,-79.92267509431609,30.0,0.013998,-0.887531,0.36408,0.005664,0.042244,0.005409
1493479002.6,40.47866982585019,-79.92267309953385,30.0,-0.056274,-0.821127,0.444746,-0.017331,0.027937,-0.005022
1493479002.8,40.47867168645341,-79.92267060087572,30.0,0.122288,-0.904765,0.385253,0.018346,0.004629,0.012408
1493479003.0,40.47867452132451,-79.92266987866172,30.0,0.006461,-0.886049,0.462387,0.017565,-0.007824,-0.000132
1493479003.2,40.478675743021725,-79.92266721102362,30.0,0.00547,-0.869605,0.366325,0.050269,-0.033036,0.002714
1493479003.4,40.478678742340975,-79.92266619655439,30.0,0.036288,-0.89067,0.41395,0.032616,-0.004383,-0.004943
1493479003.6,40.47867919231037,-79.92266355543232,30.0,0.02405,-0.922322,0.358233,-0.000484,0.005777,-0.020623
1493479003.8,40.47868036027155,-79.92266200305275,30.0,0.011194,-0.890296,0.507257,0.057082,-0.009744,0.00309
1493479004.0,40.47868491046483,-79.92265976922478,30.0,-0.039524,-0.846318,0.34062,0.044421,0.007375,0.029126
1493479004.2,40.47868489128056,-79.92265726437476,30.0,0.023573,-0.951326,0.415491,0.031642,0.011537,0.012846
1493479004.4,40.47868685682587,-79.92265667106349,30.0,0.094101,-0.893352,0.431689,0.01547,0.005503,0.004807
1493479004.6,40.47868703679028,-79.92265175376657,30.0,0.067271,-0.935006,0.42069,0.000811,-0.003,0.002371
1493479004.8,40.478689589396545,-79.92265284548228,30.0,0.079659,-0.840248,0.390736,0.012556,0.013373,0.005225
1493479005.0,40.47869191694266,-79.92265104696455,30.0,-0.025561,-0.976159,0.393509,0.041775,0.018839,0.010471
1493479005.2,40.4786923272673,-79.92264666797608,30.0,-0.04948,-0.927946,0.402191,0.057692,-0.011808,-0.006808
1493479005.4,40.47869552619969,-79.9226450277353,30.0,-0.006289,-0.881139,0.39265,0.050865,0.038219,0.016143
1493479005.6,40.478696222103785,-79.92264318858922,30.0,0.002786,-0.821724,0.448194,0.010223,0.008028,0.012154
1493479005.8,40.478698203289525,-79.92264117767456,30.0,0.05471,-0.903288,0.510526,-0.002392,0.010377,0.012182
1493479006.0,40.47869956551747,-79.92263981157788,30.0,-0.084623,-0.92776,0.372125,0.022818,0.024164,0.009385
1493479006.2,40.478703691743064,-79.92263868989652,30.0,0.076478,-0.805942,0.33151,-0.015369,0.014664,0.005196
1493479006.4,40.47870349820846,-79.92263571014863,30.0,-0.0079,-0.972401,0.395586,0.026463,0.029063,0.011729
1493479006.6,40.478704126235556,-79.92263445642593,30.0,-0.021344,-1.00994,0.528985,0.017048,0.015742,0.010918
1493479006.8,40.478707678732206,-79.92263079745553,30.0,-0.050605,-0.877999,0.359816,0.010679,-0.002249,0.00146
1493479007.0,40.47870730758444,-79.92262991294368,30.0,-0.082743,-0.925103,0.481956,-0.011894,0.01723,-0.000736
1493479007.2,40.478710409532496,-79.92262858469452,30.0,0.041159,-0.951062,0.483885,0.030272,-0.012875,0.006019
1493479007.4,40.47870991323958,-79.92262607389421,30.0,0.003666,-0.864582,0.372321,0.009346,0.012171,0.02049
1493479007.6,40.47871221696445,-79.92262333288795,30.0,-0.064498,-0.88781,0.428449,-0.003398,0.009335,-0.007391
1493479007.8,40.47871541425254,-79.92262230285499,30.0,-0.064754,-0.928204,0.48142,-0.037445,0.005838,-0.009675
1493479008.0,40.47871762809869,-79.92262055466188,30.0,-0.016789,-0.964015,0.381044,0.01945,0.007429,0.006648
1493479008.2,40.47871873324119,-79.9226174820653,30.0,0.083451,-0.856377,0.389821,0.055445,-0.027637,0.005509
1493479008.4,40.47872011846543,-79.92261547409699,30.0,-0.01298,-0.86749,0.370916,0.053225,-0.000974,0.006733
1493479008.6,40.47872160525082,-79.92261421931777,30.0,-0.075157,-0.904959,0.349262,0.010858,0.011857,0.00744
1493479008.8,40.478722100073334,-79.92261217672393,30.0,-0.012287,-0.807668,0.367536,0.007956,0.013197,0.002768
1493479009.0,40.47872453099191,-79.92260946694672,30.0,-0.013636,-0.953504,0.338803,0.029375,-0.010554,0.019899
1493479009.2,40.47872646243815,-79.92260914039204,30.0,-0.134844,-0.976276,0.401704,3.2e-05,0.035314,-0.011009
1493479009.4,40.47872965243995,-79.9226070930825,30.0,-0.002715,-0.934595,0.361501,0.026036,-0.007323,-0.003285
1493479009.6,40.47873061117682,-79.922604397374,30.0,-0.011547,-0.902279,0.411689,0.035322,0.029389,0.003967
1493479009.8,40.47873017675918,-79.92260188568795,30.0,0.03481,-0.887833,0.322205,0.044539,0.018544,-0.011432
1493479010.0,40.47873393612411,-79.92259935464428,30.0,0.092448,-0.912062,0.416544,0.017997,-0.002925,0.003241
1493479010.2,40.478734899198656,-79.92259618350667,12.57,0.056328,-0.882397,1.370169,0.015927,1.001787,0.021615
1493479010.4,40.478736279599744,-79.9225947945143,16.78,-0.013444,-0.962577,2.118689,0.00244,0.647411,0.005209
1493479010.6,40.478739240438834,-79.92259380542347,30.0,-0.055326,-0.827812,0.418703,0.003462,0.028383,0.007307
1493479010.8,40.47874133200287,-79.9225916578122,17.11,0.128668,-0.904108,2.90191,0.01547,0.355815,-0.007602
1493479011.0,40.47874290452427,-79.92259063463639,30.0,0.002961,-0.844135,0.339518,0.027347,-0.003412,-0.001164
1493479011.2,40.478742806267434,-79.9225876439312,30.0,0.000696,-0.882864,0.483629,0.038272,0.037849,0.001248
1493479011.4,40.47874500851338,-79.92258590738774,30.0,-0.001206,-0.877162,0.420951,0.003936,0.004999,0.001823
1493479011.6,40.47874732122999,-79.92258328932158,30.0,0.009904,-0.871512,0.364749,0.049854,0.015774,0.017816
